,药品名称,指导价,成分,性状,适应症,用法用量,禁忌,注意事项,特殊人群用药,通用名称,用法,剂型,成分明细,功效或适应症,特殊人群,商品名称
0,"通用名称：小儿氨酚黄那敏颗粒
                                
商品名称：护彤                                
英文名称：Pediatric Paracetamol，Atificial Cow-bezoar and Chlorphenamine Maleate Granules                                
汉语拼音：Xiaoer Anfennamin Keli",8.4,本品为复方制剂，每袋含对乙酰氨基酚125毫克，马来酸氯苯那敏0.5毫克，人工牛黄5毫克。辅料为：蔗糖、阿司帕坦、甜菊素、食用香精,本品为淡黄色至黄色或淡橙黄色颗粒。,适用于缓解儿童普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,温开水冲服。12岁以下儿童用量见下表：2～3岁， 12～14公斤， 0.5～1片/次， 一日3次4～6岁， 16～20公斤， 1～1.5片/次， 一日3次7～9岁， 22～26公斤， 1.5～2片/次， 一日3次10～12岁， 28～32公斤，2～2.5片/次， 一日3次,严重肝肾功能不全者禁用。,"1.用药3-7天，症状未缓解，请咨询医师或药师。
2.服用本品期间不得饮酒或含有酒精的饮料。
3.1岁以下儿童应在医师指导下使用。
4.不能同时服用与本品成份相似的其他抗感冒药。
5.肝、肾功能不全者慎用。
6.如服用过量或出现严重不良反应，应立即就医。
7.对本品过敏者禁用，过敏体质者慎用。
8.本品性状发生改变时禁止使用。
9.请将本品放在儿童不能接触的地方。
10.儿童必须在成人监护下使用。
11.如正在使用其他药品，使用本品前请咨询医师或药师。","儿童注意事项：
                                    
新生儿或早产儿禁用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
本品中对乙酰氨基酚，人工牛黄均可通过胎盘，可能会对胎儿造成不良影响，对胚胎有毒性且能致畸；除人工牛黄不详外，均能通过乳汁分泌，故孕妇及哺乳期妇女禁用。                                    
                                    
                                    老人注意事项：
                                    
尚不明确。",小儿氨酚黄那敏颗粒,['冲服'],['颗粒剂'],"{""对乙酰氨基酚"",""马来酸氯苯那敏"",""人工牛黄"",""蔗糖"",""阿司帕坦"",""甜菊素"",""食用香精""}","{""儿童普通感冒"",""流行性感冒"",""发热"",""头痛"",""四肢酸痛"",""打喷嚏"",""流鼻涕"",""鼻塞"",""咽痛""}","{""忌用人群"":[], ""禁用人群"":[""严重肝肾功能不全者"",""新生儿"",""早产儿"",""孕妇"",""哺乳期妇女"",""对本品过敏者""], ""慎用人群"":[""肝、肾功能不全者"",""过敏体质者""]}",护彤
1,"通用名称：复方氨酚烷胺片
                                
商品名称：感叹号                                
英文名称：Compound　Paracetamol　and　Amantadine　Hydrochloride　Tablets                                
汉语拼音：Fu Fang An Fen Wan An Pian",10.6,本品为复方制剂，每片含对乙酰氨基酚250毫克，盐酸金刚烷胺100毫克，人工牛黄10毫克，咖啡因15毫克，马来酸氯苯那敏2毫克，辅料为：淀粉、硬脂酸镁。,本品为淡黄色片。,用于缓解普通感冒或流行性感冒引起的发热、头痛、咽痛、鼻塞、打喷嚏等症状。,口服。成人，一次1片，一日2次。,1对本品过敏者禁用。 2.活动性消化道溃疡患者禁用。 3.孕妇、哺乳期妇女禁用。 4.1岁以下儿童禁用。,1. 用药3-7天，症状未缓解，请咨询医师或药师。 2. 服用本品期间不得饮酒或含有酒精的饮料。 3. 不能同时服用与本品成份相似的其他抗感冒药。 4. 肝功能不全、肾功能不全、脑血管病史、精神病史或癫痫病史患者慎用。 5. 前列腺肥大、青光眼等患者以及老年人应在医师指导下使用。 6. 孕妇及哺乳期妇女慎用。 7. 服药期间不得驾驶机、车、船、从事高空作业、机械作业及操作精密仪器。 8. 如服用过量或出现严重不良反应，应立即就医。 9. 对本品过敏者禁用，过敏体质者慎用。 10. 本品性状发生改变时禁止使用。 11. 请将本品放在儿童不能接触的地方。 12. 儿童必须在成人监护下使用。 13. 如正在使用其他药品，使用本品前请咨询医师或药师。,"儿童注意事项：
                                    
1岁以下儿童禁用。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
本品中金刚烷胺、对乙酰氨基酚、人工牛黄均可通过胎盘，对胚胎有毒性且能致畸，可能会对胎儿造成不良影响;除人工牛黄不详外，均能通过乳汁分泌，故孕妇及哺乳期妇女禁用。                                    
                                    
                                    老人注意事项：
                                    
慎用或适当减量。",复方氨酚烷胺片,['口服'],['片剂'],"{""对乙酰氨基酚"",""盐酸金刚烷胺"",""人工牛黄"",""咖啡因"",""马来酸氯苯那敏"",""淀粉"",""硬脂酸镁""}","{""普通感冒"",""流行性感冒"",""发热"",""头痛"",""咽痛"",""鼻塞"",""打喷嚏""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者"",""活动性消化道溃疡患者"",""孕妇"",""哺乳期妇女"",""1岁以下儿童""], ""慎用人群"":[""肝功能不全者"",""肾功能不全者"",""脑血管病史者"",""精神病史者"",""癫痫病史患者"",""前列腺肥大患者"",""青光眼患者"",""老年人"",""过敏体质者""]}",感叹号
2,"通用名称：苄达赖氨酸滴眼液
                                
商品名称：莎普爱思                                
英文名称：Bendazac Lysine Eye Drops                                
汉语拼音：Biɑndɑlɑiɑnsuɑn Diyɑnye",106.6,本品每瓶含苄达赖氨酸25毫克。辅料为羟丙甲纤维素、磷酸二氢钠、磷酸氢二钠、氯化钠、硫柳汞（汞类化合物，0.001%）。,本品为无色或几乎无色的澄明液体,早期老年性白内障,滴眼，一日3次，一次1～2滴或遵医嘱。,眼外伤及严重感染时，暂不使用，或遵医嘱,1、滴眼时请勿使管口接触手和眼睛，避免污染瓶内眼药水。2、使用后请控紧瓶盖，以防污染。3、部分病例出现一过性刺激感，如灼热感、刺痛等，但不影响使用。实验证明本品经冰箱冷藏(4℃左右)后可以降低刺激性的发生率和强度。建议使用时有刺激的患者，将本品放入冰箱冷藏后使用以降低刺激。若发现药水污染或混浊请弃去不用。4、据报导，一过性刺激的发生率和强度与眼部的其他感染或炎症有关，建议眼部有感染或炎症的白内障患者在使用本品时，最好在医师指导下同时治疗上述眼疾。5、对本品过敏者禁用，过敏体质者慎用。6、本品性状发生改变时禁止使用。7、请将本品放在儿童不能接触的地方。8、如正在使用其他药品，使用本品前请咨询医师或药师。,"儿童注意事项：
                                    
尚未明确。                                    
                                    
                                    妊娠与哺乳期注意事项：
                                    
尚未明确。                                    
                                    
                                    老人注意事项：
                                    
尚未明确。",苄达赖氨酸滴眼液,['滴眼'],['液体剂型'],"{""苄达赖氨酸"",""羟丙甲纤维素"",""磷酸二氢钠"",""磷酸氢二钠"",""氯化钠"",""硫柳汞""}",{"早期老年性白内障"},"{""忌用人群"":[], ""禁用人群"":[""眼外伤及严重感染时"",""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""眼部有感染或炎症的白内障患者""]}",莎普爱思
3,"通用名称：小儿感冒颗粒
                                
英文名称：XiaoErGanMaoKeLi                                
汉语拼音：Xiaoer Ganmao Keli",,广藿香、菊花、连翘、大青叶、板蓝根、地黄、地骨皮、白薇、薄荷、石膏；辅料为蔗糖、糊精。,本品为浅棕色的颗粒；味甜、微苦。,疏风解表，清热解毒。用于小儿风热感冒，症见发热、头胀痛、咳嗽痰黏、咽喉肿痛；流感见上述证候者。,开水冲服。一岁以内一次6克，一岁至三岁一次612克，四岁至七岁一次12-18克，八岁至十二岁一次24克，一日2次。,尚不明确。,1.忌辛辣、生冷、油腻食物。2.不宜在服药期间同时服用滋补性中药。3.婴儿应在医师指导下服用。4.风寒感冒者不适用。5.糖尿病患儿、脾虚易腹泻者应在医师指导下服用。6.发热体温超过38．5℃的患者，应去医院就诊。7.服药3天症状无缓解，应去医院就诊。8.对本品过敏者禁用，过敏体质者慎用。9.本品性状发生改变时禁止使用。10.儿童必须在成人监护下使用。11.请将本品放在儿童不能接触的地方。12.如正在使用其他药品，使用本品前请咨询医师或药师。13.开水冲泡，搅拌呈混悬状服用。,,小儿感冒颗粒,['冲服'],['颗粒剂'],"{""广藿香"",""菊花"",""连翘"",""大青叶"",""板蓝根"",""地黄"",""地骨皮"",""白薇"",""薄荷"",""石膏"",""蔗糖"",""糊精""}","{""疏风解表"",""清热解毒"",""小儿风热感冒"",""发热"",""头胀痛"",""咳嗽痰黏"",""咽喉肿痛"",""流感""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""过敏体质者"",""婴儿"",""糖尿病患儿"",""脾虚易腹泻者""]}",
4,"通用名称：清咽滴丸
                                
商品名称：松栢                                
英文名称：QingYanDiWan(SongBai)                                
汉语拼音：Qing Yan Di Wan",32,薄荷脑、青黛、冰片、诃子、甘草、人工牛黄。辅料为聚乙二醇。,本品为棕褐色至黑褐色的滴丸；味微苦涩，气辛凉。,疏风清热，解毒利咽。用于风热喉痹，咽痛，咽干，口渴；或微恶风，发热，咽部红肿，急性咽炎见上述证候者。,含服。一次4～6粒，日3次。,尚不明确。,"1.忌辛辣、鱼腥食物。
2.孕妇慎用。
3.不宜在服药期间同时服用温补性中成药。
4.服药三天后症状无改善，或出现其他症状，应去医院就诊。
5.按照用法用量服用，儿童应在医师指导下服用。
6.药品性状发生改变时禁止服用。
7.儿童必须在成人的监护下使用。
8.请将此药品放在儿童不能接触的地方。
9.如正在服用其他药物，使用本品前请咨询医师或药师。
10.对本品过敏者禁用，过敏体质者慎用。","妊娠与哺乳期注意事项：
                                    
孕妇慎用。",清咽滴丸,['含服'],"['中药剂型', '气雾剂']","{""薄荷脑"",""青黛"",""冰片"",""诃子"",""甘草"",""人工牛黄"",""聚乙二醇""}","{""疏风清热"",""解毒利咽"",""风热喉痹"",""咽痛"",""咽干"",""口渴"",""微恶风"",""发热"",""咽部红肿"",""急性咽炎""}","{""忌用人群"":[], ""禁用人群"":[""对本品过敏者""], ""慎用人群"":[""孕妇"",""过敏体质者""]}",松栢
5,"通用名称：感冒清片
                                
英文名称：GanMaoQingPian                                
汉语拼音：Ganmaoqing Pian",3.1,南板蓝根、大青叶、金盏银盘、岗梅、山芝麻、对乙酰氨基酚、穿心莲叶、盐酸吗啉胍、马来酸氯苯那敏。,本品为薄膜衣片，除去包衣后显灰绿色或灰褐色；味苦。,疏风解表，清热解毒。用于风热感冒，发烧，头痛，鼻塞流涕，喷嚏，咽喉肿痛，全身酸痛等症。,口服。一次3～4片，一日3次。,尚不明确。,用药期间不宜驾驶车辆、管理机器及高空作业等。,,感冒清片,['口服'],"['片剂', '膜剂']","{""南板蓝根"",""大青叶"",""金盏银盘"",""岗梅"",""山芝麻"",""对乙酰氨基酚"",""穿心莲叶"",""盐酸吗啉胍"",""马来酸氯苯那敏""}","{""疏风解表"",""清热解毒"",""风热感冒"",""发烧"",""头痛"",""鼻塞流涕"",""喷嚏"",""咽喉肿痛"",""全身酸痛""}","{""忌用人群"":[], ""禁用人群"":[], ""慎用人群"":[]}",
6,"通用名称：口炎清颗粒
                                
商品名称：大神                                
英文名称：KouYanQingKeLi(BaiYunShan)                                
汉语拼音：Kouyanqing Keli",18.3,天冬、麦冬、玄参、山银花、甘草。,本品为棕黄色的颗粒；味甜、微苦。,滋阴清热，解毒消肿。用于阴虚火旺所致的口腔炎症。,口服。一次2袋，一日1～2次。,尚不明确。,"1.忌烟、酒及辛辣、油腻食物。
2.糖尿病患者及有高血压、心脏病、肝病、肾病等慢性病严重者应在医师指导下服用。
3.儿童、孕妇、哺乳期妇女、年老体弱、脾虚便溏者应在医师指导下服用。
4.服药3天症状无缓解，应去医院就诊。
5.对本品过敏者禁用，过敏体质者慎用。
6.本品性状发生改变时禁止使用。
7.儿童必须在成人监护下使用。
8.请将本品放在儿童不能接触的地方。
9.如正在使用其他药品，使用本品前请咨询医师或药师。",,口炎清颗粒,['口服'],['颗粒剂'],"{""天冬"",""麦冬"",""玄参"",""山银花"",""甘草""}","{""滋阴清热"",""解毒消肿"",""口腔炎症""}","{""忌用人群"":[], ""禁用人群"":[""糖尿病患者"",""对本品过敏者""], ""慎用人群"":[""高血压患者"",""心脏病患者"",""肝病患者"",""肾病患者"",""年老体弱"",""脾虚便溏者"",""过敏体质者""]}",大神
7,"通用名称：清开灵颗粒
                                
商品名称：白云山                                
英文名称：QingKaiLingKeLi(BaiYunShan)                                
汉语拼音：Qing Kai Ling Ke Li",13,胆酸、珍珠母、猪去氧胆酸、栀子、水牛角、板蓝根、黄芩苷、金银花。,本品为棕色的颗粒;味甜，微苦。,清热解毒，镇静安神。对温热病引起的高热不退，烦燥不安，咽喉肿痛，舌红或绛，苔黄，脉数者适宜；多用于湿热型肝炎和上呼吸道感染症。,口服。一次1～2袋，一日2～3次。,孕妇禁用；糖尿病患者禁服。,"1.忌烟、酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服滋补性中药。
3.发高烧体温超过38.5℃的患者，请上医院就诊；脾胃虚寒泄泻者慎服。
4.风寒感冒者不适用，其表现为恶寒重，发热轻，无汗，头痛，鼻塞，流清涕，喉痒咳嗽。
5.高血压、心脏病、肝病、肾病、糖尿病等慢性病严重者应在医生指导下服用。
6.服药3天症状无缓解，应去医院就诊。
7.儿童、年老体弱者应在医师指导下服用。
8.对本品过敏者禁用，过敏体质者慎用。
9.本品性状发生改变时禁止使用。
10.儿童必须在成人监护下使用。
11.请将本品",,清开灵颗粒,['口服'],['颗粒剂'],"{""胆酸"",""珍珠母"",""猪去氧胆酸"",""栀子"",""水牛角"",""板蓝根"",""黄芩苷"",""金银花""}","{""清热解毒"",""镇静安神"",""温热病"",""高热不退"",""烦燥不安"",""咽喉肿痛"",""舌红或绛"",""苔黄"",""脉数"",""湿热型肝炎"",""上呼吸道感染症""}","{""忌用人群"":[],""禁用人群"":[""孕妇"",""糖尿病患者"",""对本品过敏者""],""慎用人群"":[""脾胃虚寒泄泻者"",""过敏体质者""]}",白云山
8,"通用名称：连花清瘟胶囊
                                
商品名称：以岭                                
英文名称：LianHuaQingWenJiaoNang(YiLing)                                
汉语拼音：Lianhua Qingwen Jiaonang",15,连翘、金银花、炙麻黄、炒苦杏仁、石膏、板蓝根、绵马贯众、鱼腥草、广藿香、大黄、红景天、薄荷脑、甘草。辅料为：淀粉。,本品为胶囊剂，内容物为棕黄色至黄褐色的颗粒和粉末：气微香，味微苦。,清瘟解毒，宣肺泄热。用于治疗流行性感冒属热毒袭肺证，症见：发热或高热，恶寒，肌肉酸痛，鼻塞流涕，咳嗽，头痛，咽干咽痛，舌偏红，苔黄或黄腻等。,口服。一次4粒，一日3次。,尚不明确。,"1.忌烟、酒及辛辣、生冷、油腻食物。
2.不宜在服药期间同时服用滋补性中药。
3.风寒感冒者不适用。
4.高血压、心脏病患者慎用。有肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。
5.儿童、孕妇、哺乳期妇女、年老体弱及脾虚便溏者应在医师指导下服用。
6.发热体温超过38.5℃的患者，应去医院就诊。
7.严格按用法用量服用，本品不宜长期服用。
8.服药3天症状无缓解，应去医院就诊。
9.对本品过敏者禁用，过敏体质者慎用。
10.本品性状发生改变时禁止使用。
11.儿童必须在成人监护下使用。
12.请将",,连花清瘟胶囊,['口服'],"['颗粒剂', '粉剂', '胶囊剂', '气雾剂', '软膏剂']","{""连翘"",""金银花"",""炙麻黄"",""炒苦杏仁"",""石膏"",""板蓝根"",""绵马贯众"",""鱼腥草"",""广藿香"",""大黄"",""红景天"",""薄荷脑"",""甘草"",""淀粉""}","{""清瘟解毒"",""宣肺泄热"",""流行性感冒属热毒袭肺证"",""发热或高热"",""恶寒"",""肌肉酸痛"",""鼻塞流涕"",""咳嗽"",""头痛"",""咽干咽痛"",""舌偏红"",""苔黄或黄腻""}","{""忌用人群"":[],""禁用人群"":[""对本品过敏者""],""慎用人群"":[""高血压患者"",""心脏病患者"",""肝病患者"",""糖尿病患者"",""肾病患者"",""儿童"",""孕妇"",""哺乳期妇女"",""年老体弱"",""脾虚便溏者"",""过敏体质者""]}",以岭
9,"通用名称：止咳宝片
                                
商品名称：特一                                
英文名称：ZhiKeBaoPian(TeYi)                                
汉语拼音：Zhikebao Pian",22,紫菀、橘红、桔梗、前胡、枳壳、百部、五味子、罂粟壳浸膏、甘草、薄荷素油、氯化铵等味。,本品为包衣片，除去包衣后，显棕黑色；味微苦、咸。,宣肺祛痰，止咳平喘。用于外感风寒所致的咳嗽、痰多清稀、咳甚而喘；慢性支气管炎、上呼吸道感染见上述证候者。,口服。一次2片，一日3次；或遵医嘱。该药品连服七日为一疗程，可以连续服用三至五个疗程。,孕妇、婴儿及哺乳期妇女忌服。,"1.忌烟、酒及辛辣、生冷、油腻食物。

2.服药期间不宜再受风寒。

3.不宜在服药期间同时服用滋补性中药。

4.肺热、肺燥之干咳及咳痰带血者慎用。

5.该药品含氯化铵，肝肾功能异常者及老年患者慎用。消化性溃疡患者应在医师指导下使用。

6.支气管扩张、肺脓疡、肺心病、肺结核患者出现咳嗽时应去医院就诊。

7.有高血压、心脏病、糖尿病等慢性病严重者应在医师指导下服用。

8.儿童应在医师指导下服用。

9.服药期间，若患者发热体温超过38.5℃，或出现喘促气急者，或咳嗽加重、痰量明显增多者应去医院就诊",,止咳宝片,['口服'],['片剂'],"{""紫菀"",""橘红"",""桔梗"",""前胡"",""枳壳"",""百部"",""五味子"",""罂粟壳浸膏"",""甘草"",""薄荷素油"",""氯化铵""}","{""宣肺祛痰"",""止咳平喘"",""咳嗽"",""痰多清稀"",""咳甚而喘"",""慢性支气管炎"",""上呼吸道感染""}","{""忌用人群"":[],""禁用人群"":[""孕妇"",""婴儿"",""哺乳期妇女""],""慎用人群"":[""肺热者"",""肺燥之干咳者"",""咳痰带血者"",""肝功能异常者"",""肾功能异常者"",""老年人"",""消化性溃疡患者""]}",特一
